"","date","site_id","daily_mean_pm10_concentration","state","county","site_longitude","site_latitude","concurred"
"78",2018-03-24,"060670010",12,"California","Sacramento",-121.49311,38.56844,"N"
"79",2018-03-25,"060670010",9,"California","Sacramento",-121.49311,38.56844,"N"
"80",2018-03-26,"060670010",10,"California","Sacramento",-121.49311,38.56844,"N"
"81",2018-03-27,"060670010",13,"California","Sacramento",-121.49311,38.56844,"N"
"82",2018-03-28,"060670010",22,"California","Sacramento",-121.49311,38.56844,"N"
"83",2018-03-29,"060670010",23,"California","Sacramento",-121.49311,38.56844,"N"
"84",2018-03-30,"060670010",30,"California","Sacramento",-121.49311,38.56844,"N"
"85",2018-03-31,"060670010",25,"California","Sacramento",-121.49311,38.56844,"N"
"86",2018-04-01,"060670010",22,"California","Sacramento",-121.49311,38.56844,"N"
"87",2018-04-02,"060670010",23,"California","Sacramento",-121.49311,38.56844,"N"
"88",2018-04-03,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"89",2018-04-04,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"90",2018-04-05,"060670010",16,"California","Sacramento",-121.49311,38.56844,"N"
"91",2018-04-06,"060670010",9,"California","Sacramento",-121.49311,38.56844,"N"
"92",2018-04-07,"060670010",18,"California","Sacramento",-121.49311,38.56844,"N"
"93",2018-04-08,"060670010",17,"California","Sacramento",-121.49311,38.56844,"N"
"94",2018-04-09,"060670010",19,"California","Sacramento",-121.49311,38.56844,"N"
"95",2018-04-10,"060670010",18,"California","Sacramento",-121.49311,38.56844,"N"
"96",2018-04-11,"060670010",15,"California","Sacramento",-121.49311,38.56844,"N"
"97",2018-04-12,"060670010",13,"California","Sacramento",-121.49311,38.56844,"N"
"98",2018-04-13,"060670010",14,"California","Sacramento",-121.49311,38.56844,"N"
"99",2018-04-14,"060670010",18,"California","Sacramento",-121.49311,38.56844,"N"
"100",2018-04-15,"060670010",23,"California","Sacramento",-121.49311,38.56844,"N"
"101",2018-04-16,"060670010",13,"California","Sacramento",-121.49311,38.56844,"N"
"102",2018-04-17,"060670010",11,"California","Sacramento",-121.49311,38.56844,"N"
"103",2018-04-18,"060670010",14,"California","Sacramento",-121.49311,38.56844,"N"
"104",2018-04-19,"060670010",17,"California","Sacramento",-121.49311,38.56844,"N"
"105",2018-04-20,"060670010",18,"California","Sacramento",-121.49311,38.56844,"N"
"106",2018-04-21,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"107",2018-04-22,"060670010",25,"California","Sacramento",-121.49311,38.56844,"N"
"108",2018-04-23,"060670010",28,"California","Sacramento",-121.49311,38.56844,"N"
"109",2018-04-24,"060670010",34,"California","Sacramento",-121.49311,38.56844,"N"
"110",2018-04-25,"060670010",31,"California","Sacramento",-121.49311,38.56844,"N"
"111",2018-04-26,"060670010",29,"California","Sacramento",-121.49311,38.56844,"N"
"112",2018-04-27,"060670010",22,"California","Sacramento",-121.49311,38.56844,"N"
"113",2018-04-28,"060670010",16,"California","Sacramento",-121.49311,38.56844,"N"
"114",2018-04-29,"060670010",11,"California","Sacramento",-121.49311,38.56844,"N"
"115",2018-04-30,"060670010",20,"California","Sacramento",-121.49311,38.56844,"N"
"116",2018-05-01,"060670010",29,"California","Sacramento",-121.49311,38.56844,"N"
"117",2018-05-02,"060670010",33,"California","Sacramento",-121.49311,38.56844,"N"
"118",2018-05-03,"060670010",22,"California","Sacramento",-121.49311,38.56844,"N"
"119",2018-05-04,"060670010",25,"California","Sacramento",-121.49311,38.56844,"N"
"120",2018-05-05,"060670010",22,"California","Sacramento",-121.49311,38.56844,"N"
"121",2018-05-06,"060670010",15,"California","Sacramento",-121.49311,38.56844,"N"
