"","date","site_id","daily_max_8_hour_ozone_concentration","state","county","site_longitude","site_latitude","concurred"
"71",2018-03-13,"060570005",0.037,"California","Nevada",-121.055608,39.2334770009245,"N"
"72",2018-03-14,"060570005",0.038,"California","Nevada",-121.055608,39.2334770009245,"N"
"73",2018-03-15,"060570005",0.038,"California","Nevada",-121.055608,39.2334770009245,"N"
"74",2018-03-16,"060570005",0.035,"California","Nevada",-121.055608,39.2334770009245,"N"
"75",2018-03-17,"060570005",0.037,"California","Nevada",-121.055608,39.2334770009245,"N"
"76",2018-03-18,"060570005",0.034,"California","Nevada",-121.055608,39.2334770009245,"N"
"77",2018-03-19,"060570005",0.036,"California","Nevada",-121.055608,39.2334770009245,"N"
"78",2018-03-20,"060570005",0.038,"California","Nevada",-121.055608,39.2334770009245,"N"
"79",2018-03-21,"060570005",0.033,"California","Nevada",-121.055608,39.2334770009245,"N"
"80",2018-03-22,"060570005",0.037,"California","Nevada",-121.055608,39.2334770009245,"N"
"81",2018-03-23,"060570005",0.04,"California","Nevada",-121.055608,39.2334770009245,"N"
"82",2018-03-24,"060570005",0.04,"California","Nevada",-121.055608,39.2334770009245,"N"
"83",2018-03-25,"060570005",0.038,"California","Nevada",-121.055608,39.2334770009245,"N"
"84",2018-03-26,"060570005",0.043,"California","Nevada",-121.055608,39.2334770009245,"N"
"85",2018-03-27,"060570005",0.042,"California","Nevada",-121.055608,39.2334770009245,"N"
"86",2018-03-28,"060570005",0.038,"California","Nevada",-121.055608,39.2334770009245,"N"
"87",2018-03-29,"060570005",0.044,"California","Nevada",-121.055608,39.2334770009245,"N"
"88",2018-03-30,"060570005",0.048,"California","Nevada",-121.055608,39.2334770009245,"N"
"89",2018-03-31,"060570005",0.055,"California","Nevada",-121.055608,39.2334770009245,"N"
"90",2018-04-01,"060570005",0.046,"California","Nevada",-121.055608,39.2334770009245,"N"
"91",2018-04-02,"060570005",0.048,"California","Nevada",-121.055608,39.2334770009245,"N"
"92",2018-04-03,"060570005",0.046,"California","Nevada",-121.055608,39.2334770009245,"N"
"93",2018-04-04,"060570005",0.051,"California","Nevada",-121.055608,39.2334770009245,"N"
"94",2018-04-05,"060570005",0.036,"California","Nevada",-121.055608,39.2334770009245,"N"
"95",2018-04-06,"060570005",0.032,"California","Nevada",-121.055608,39.2334770009245,"N"
"96",2018-04-07,"060570005",0.036,"California","Nevada",-121.055608,39.2334770009245,"N"
"97",2018-04-08,"060570005",0.036,"California","Nevada",-121.055608,39.2334770009245,"N"
"98",2018-04-09,"060570005",0.032,"California","Nevada",-121.055608,39.2334770009245,"N"
"99",2018-04-10,"060570005",0.04,"California","Nevada",-121.055608,39.2334770009245,"N"
"100",2018-04-11,"060570005",0.045,"California","Nevada",-121.055608,39.2334770009245,"N"
"101",2018-04-12,"060570005",0.042,"California","Nevada",-121.055608,39.2334770009245,"N"
"102",2018-04-13,"060570005",0.038,"California","Nevada",-121.055608,39.2334770009245,"N"
"103",2018-04-14,"060570005",0.038,"California","Nevada",-121.055608,39.2334770009245,"N"
"104",2018-04-15,"060570005",0.048,"California","Nevada",-121.055608,39.2334770009245,"N"
"105",2018-04-16,"060570005",0.038,"California","Nevada",-121.055608,39.2334770009245,"N"
"106",2018-04-17,"060570005",0.036,"California","Nevada",-121.055608,39.2334770009245,"N"
"107",2018-04-18,"060570005",0.039,"California","Nevada",-121.055608,39.2334770009245,"N"
"108",2018-04-19,"060570005",0.039,"California","Nevada",-121.055608,39.2334770009245,"N"
"109",2018-04-20,"060570005",0.044,"California","Nevada",-121.055608,39.2334770009245,"N"
"110",2018-04-21,"060570005",0.041,"California","Nevada",-121.055608,39.2334770009245,"N"
"111",2018-04-22,"060570005",0.047,"California","Nevada",-121.055608,39.2334770009245,"N"
"112",2018-04-23,"060570005",0.049,"California","Nevada",-121.055608,39.2334770009245,"N"
"113",2018-04-24,"060570005",0.057,"California","Nevada",-121.055608,39.2334770009245,"N"
"114",2018-04-25,"060570005",0.058,"California","Nevada",-121.055608,39.2334770009245,"N"
"115",2018-04-26,"060570005",0.051,"California","Nevada",-121.055608,39.2334770009245,"N"
"116",2018-04-27,"060570005",0.045,"California","Nevada",-121.055608,39.2334770009245,"N"
"117",2018-04-28,"060570005",0.045,"California","Nevada",-121.055608,39.2334770009245,"N"
"118",2018-04-29,"060570005",0.04,"California","Nevada",-121.055608,39.2334770009245,"N"
"119",2018-04-30,"060570005",0.04,"California","Nevada",-121.055608,39.2334770009245,"N"
"120",2018-05-01,"060570005",0.042,"California","Nevada",-121.055608,39.2334770009245,"N"
"121",2018-05-02,"060570005",0.048,"California","Nevada",-121.055608,39.2334770009245,"N"
"122",2018-05-03,"060570005",0.047,"California","Nevada",-121.055608,39.2334770009245,"N"
"123",2018-05-04,"060570005",0.046,"California","Nevada",-121.055608,39.2334770009245,"N"
"124",2018-05-05,"060570005",0.044,"California","Nevada",-121.055608,39.2334770009245,"N"
"125",2018-05-06,"060570005",0.051,"California","Nevada",-121.055608,39.2334770009245,"N"
"126",2018-05-07,"060570005",0.054,"California","Nevada",-121.055608,39.2334770009245,"N"
"127",2018-05-08,"060570005",0.061,"California","Nevada",-121.055608,39.2334770009245,"N"
"128",2018-05-09,"060570005",0.049,"California","Nevada",-121.055608,39.2334770009245,"N"
"129",2018-05-10,"060570005",0.059,"California","Nevada",-121.055608,39.2334770009245,"N"
"130",2018-05-11,"060570005",0.049,"California","Nevada",-121.055608,39.2334770009245,"N"
