"","state","events"
"1","Arizona",2
"2","California",103
"3","Colorado",1
"4","Connecticut",2
"5","Idaho",1
"6","Illinois",1
"7","Louisiana",1
"8","Maryland",2
"9","Massachusetts",1
"10","Michigan",1
"11","Montana",2
"12","Nevada",6
"13","New Jersey",1
"14","New Mexico",10
"15","Ohio",4
"16","Oregon",5
"17","Pennsylvania",2
"18","Rhode Island",1
"19","Texas",1
"20","Utah",3
"21","Washington",1
