place,2020,2021,2022
"Adelanto city, California","38,128","38,436","38,783"
"Agoura Hills city, California","20,227","19,802","19,464"
"Alameda city, California","78,044","76,246","76,040"
"Albany city, California","20,225","19,823","19,415"
"Alhambra city, California","82,657","81,168","80,259"
"Aliso Viejo city, California","52,205","51,901","51,221"
"Alturas city, California","2,701","2,685","2,658"
"Amador City city, California",198,201,201
"American Canyon city, California","21,777","21,602","21,432"
"Anaheim city, California","347,105","346,174","344,461"
"Anderson city, California","11,330","11,380","11,307"
"Angels city, California","3,676","3,762","3,786"
"Antioch city, California","115,251","114,964","115,264"
"Apple Valley town, California","75,874","76,158","75,867"
"Arcadia city, California","56,466","55,334","54,857"
"Arcata city, California","18,788","17,736","18,555"
"Arroyo Grande city, California","18,420","18,465","18,380"
"Artesia city, California","16,341","16,006","15,774"
"Arvin city, California","19,545","19,714","19,611"
"Atascadero city, California","29,736","29,723","29,684"
"Atherton town, California","7,165","6,970","6,898"
"Atwater city, California","31,955","32,153","32,372"
"Auburn city, California","13,792","13,891","13,737"
"Avalon city, California","3,448","3,373","3,313"
"Avenal city, California","13,488","12,886","13,374"
"Azusa city, California","50,154","49,289","48,824"
"Bakersfield city, California","405,181","409,079","410,647"
"Baldwin Park city, California","71,971","70,561","69,455"
"Banning city, California","29,526","30,293","30,683"
"Barstow city, California","25,419","25,452","25,231"
"Beaumont city, California","53,523","55,271","56,349"
"Bell city, California","33,458","32,774","32,466"
"Bellflower city, California","78,975","77,411","76,405"
"Bell Gardens city, California","39,379","38,555","37,927"
"Belmont city, California","28,234","27,305","26,773"
"Belvedere city, California","2,126","2,115","2,080"
"Benicia city, California","27,091","26,891","26,567"
"Berkeley city, California","124,206","114,810","118,950"
"Beverly Hills city, California","32,581","31,852","31,326"
"Big Bear Lake city, California","5,049","5,065","5,031"
"Biggs city, California","1,951","1,935","1,899"
"Bishop city, California","3,822","3,818","3,771"
"Blue Lake city, California","1,200","1,196","1,183"
"Blythe city, California","18,020","17,343","17,358"
"Bradbury city, California",922,899,886
"Brawley city, California","26,414","26,543","26,862"
"Brea city, California","47,477","47,530","46,993"
"Brentwood city, California","64,463","64,931","66,127"
"Brisbane city, California","4,838","4,675","4,597"
"Buellton city, California","5,168","5,161","5,106"
"Buena Park city, California","83,862","82,951","82,450"
"Burbank city, California","107,143","105,291","103,920"
"Burlingame city, California","31,270","30,178","30,559"
"Calabasas city, California","23,178","22,889","22,491"
"Calexico city, California","38,533","38,540","38,249"
"California City city, California","15,051","15,029","15,127"
"Calimesa city, California","10,165","10,891","11,017"
"Calipatria city, California","6,585","6,385","6,322"
"Calistoga city, California","5,215","5,184","5,029"
"Camarillo city, California","70,830","70,904","70,282"
"Campbell city, California","43,831","42,753","42,286"
"Canyon Lake city, California","11,084","11,159","11,142"
"Capitola city, California","9,923","9,837","9,659"
"Carlsbad city, California","114,896","115,224","114,160"
"Carmel-by-the-Sea city, California","3,210","3,193","3,146"
"Carpinteria city, California","13,239","13,115","12,950"
"Carson city, California","95,286","93,285","92,388"
