place,2020,2021,2022
"Adair Village city, Oregon",986,"1,003","1,021"
"Adams city, Oregon",389,391,389
"Adrian city, Oregon",156,156,158
"Albany city, Oregon","56,670","56,932","56,891"
"Amity city, Oregon","1,758","1,765","1,760"
"Antelope city, Oregon",37,37,37
"Arlington city, Oregon",633,634,635
"Ashland city, Oregon","21,401","21,633","21,285"
"Astoria city, Oregon","10,197","10,311","10,182"
"Athena city, Oregon","1,210","1,209","1,207"
"Aumsville city, Oregon","4,246","4,246","4,209"
"Aurora city, Oregon","1,142","1,150","1,133"
"Baker City city, Oregon","10,133","10,216","10,247"
"Bandon city, Oregon","3,328","3,340","3,341"
"Banks city, Oregon","1,837","1,833","1,814"
"Barlow city, Oregon",133,135,136
"Bay City city, Oregon","1,391","1,409","1,398"
"Beaverton city, Oregon","97,495","98,466","97,053"
"Bend city, Oregon","99,669","102,428","103,254"
"Boardman city, Oregon","3,843","3,931","3,959"
"Bonanza town, Oregon",403,410,411
"Brookings city, Oregon","6,758","6,811","6,762"
"Brownsville city, Oregon","1,698","1,702","1,842"
"Burns city, Oregon","2,729","2,760","2,733"
"Butte Falls town, Oregon",444,447,441
"Canby city, Oregon","18,196","18,195","18,074"
"Cannon Beach city, Oregon","1,496","1,522","1,519"
"Canyon City town, Oregon",659,661,654
"Canyonville city, Oregon","1,643","1,654","1,658"
"Carlton city, Oregon","2,220","2,231","2,220"
"Cascade Locks city, Oregon","1,374","1,379","1,378"
"Cave Junction city, Oregon","2,072","2,077","2,055"
"Central Point city, Oregon","19,082","19,418","19,222"
"Chiloquin city, Oregon",762,770,770
"Clatskanie city, Oregon","1,728","1,746","1,751"
"Coburg city, Oregon","1,313","1,310","1,305"
"Columbia City city, Oregon","1,954","1,958","1,943"
"Condon city, Oregon",719,717,716
"Coos Bay city, Oregon","15,985","15,956","15,840"
"Coquille city, Oregon","4,018","4,033","4,034"
"Cornelius city, Oregon","12,780","13,465","14,431"
"Corvallis city, Oregon","59,934","60,263","60,956"
"Cottage Grove city, Oregon","10,606","10,604","10,713"
"Cove city, Oregon",625,629,620
"Creswell city, Oregon","5,644","5,636","5,637"
"Culver city, Oregon","1,602","1,639","1,655"
"Dallas city, Oregon","16,956","17,307","17,488"
"Dayton city, Oregon","2,674","2,688","2,677"
"Dayville town, Oregon",133,135,133
"Depoe Bay city, Oregon","1,516","1,529","1,526"
"Detroit city, Oregon",201,194,193
"Donald city, Oregon","1,014","1,017","1,011"
