place,2020,2021,2022
"Drain city, Oregon","1,176","1,187","1,192"
"Dufur city, Oregon",636,640,637
"Dundee city, Oregon","3,246","3,238","3,185"
"Dunes City city, Oregon","1,427","1,424","1,412"
"Durham city, Oregon","1,941","1,921","1,887"
"Eagle Point city, Oregon","9,711","9,896","9,870"
"Echo city, Oregon",634,633,631
"Elgin city, Oregon","1,714","1,723","1,704"
"Elkton city, Oregon",184,186,186
"Enterprise city, Oregon","2,054","2,096","2,124"
"Estacada city, Oregon","4,507","4,785","5,308"
"Eugene city, Oregon","177,389","177,953","177,923"
"Fairview city, Oregon","10,393","10,888","10,768"
"Falls City city, Oregon","1,057","1,069","1,067"
"Florence city, Oregon","9,418","9,469","9,376"
"Forest Grove city, Oregon","26,230","26,234","26,784"
"Fossil city, Oregon",452,450,448
"Garibaldi city, Oregon",827,836,830
"Gaston city, Oregon",679,678,671
"Gates city, Oregon",549,491,487
"Gearhart city, Oregon","1,800","1,854","1,867"
"Gervais city, Oregon","2,598","2,600","2,579"
"Gladstone city, Oregon","12,031","12,030","11,951"
"Glendale city, Oregon",860,865,867
"Gold Beach city, Oregon","2,349","2,369","2,358"
"Gold Hill city, Oregon","1,337","1,349","1,330"
"Granite city, Oregon",31,31,31
"Grants Pass city, Oregon","39,256","39,455","39,079"
"Grass Valley city, Oregon",152,157,161
"Gresham city, Oregon","114,466","113,154","111,621"
"Haines city, Oregon",374,378,380
"Halfway city, Oregon",358,361,365
"Halsey city, Oregon",959,954,949
"Happy Valley city, Oregon","24,038","25,694","26,456"
"Harrisburg city, Oregon","3,657","3,673","3,683"
"Helix city, Oregon",191,192,191
"Heppner city, Oregon","1,188","1,192","1,172"
"Hermiston city, Oregon","19,426","19,423","19,423"
"Hillsboro city, Oregon","106,981","106,916","107,299"
"Hines city, Oregon","1,648","1,664","1,645"
"Hood River city, Oregon","8,314","8,376","8,352"
"Hubbard city, Oregon","3,435","3,437","3,407"
"Huntington city, Oregon",501,506,509
"Idanha city, Oregon",155,155,155
"Imbler city, Oregon",247,249,245
"Independence city, Oregon","9,991","10,181","10,255"
"Ione city, Oregon",336,338,336
"Irrigon city, Oregon","2,016","2,031","2,043"
"Island City city, Oregon","1,141","1,144","1,131"
"Jacksonville city, Oregon","3,015","3,024","2,966"
"Jefferson city, Oregon","3,334","3,334","3,304"
"John Day city, Oregon","1,665","1,676","1,660"
"Johnson City city, Oregon",541,545,546
"Jordan Valley city, Oregon",135,136,137
"Joseph city, Oregon","1,156","1,180","1,194"
"Junction City city, Oregon","6,794","7,113","7,004"
"Keizer city, Oregon","39,331","39,195","38,704"
"King City city, Oregon","5,176","5,124","5,040"
"Klamath Falls city, Oregon","21,821","22,014","21,977"
"Lafayette city, Oregon","4,430","4,433","4,399"
"La Grande city, Oregon","12,999","13,041","13,106"
"Lake Oswego city, Oregon","40,822","40,544","40,108"
"Lakeside city, Oregon","1,900","1,902","1,888"
"Lakeview town, Oregon","2,427","2,460","2,487"
"La Pine city, Oregon","2,498","2,547","2,536"
"Lebanon city, Oregon","18,515","19,019","19,415"
"Lexington town, Oregon",242,244,239
"Lincoln City city, Oregon","9,847","10,002","9,966"
"Lonerock city, Oregon",23,23,24
"Long Creek city, Oregon",171,173,170
"Lostine city, Oregon",239,246,251
"Lowell city, Oregon","1,203","1,208","1,227"
"Lyons city, Oregon","1,208","1,206","1,203"
"McMinnville city, Oregon","34,466","34,735","34,530"
"Madras city, Oregon","7,487","7,650","7,709"
"Malin city, Oregon",734,740,742
"Manzanita city, Oregon",607,617,627
"Maupin city, Oregon",421,423,420
"Maywood Park city, Oregon",832,820,809
"Medford city, Oregon","85,975","86,634","85,556"
"Merrill city, Oregon",826,835,835
"Metolius city, Oregon",977,"1,003","1,012"
"Mill City city, Oregon","1,972","1,966","1,966"
"Millersburg city, Oregon","2,972","3,197","3,262"
"Milton-Freewater city, Oregon","7,147","7,126","7,092"
"Milwaukie city, Oregon","21,150","21,035","21,375"
"Mitchell city, Oregon",139,138,137
"Molalla city, Oregon","10,241","10,240","10,171"
"Monmouth city, Oregon","11,138","11,260","11,274"
"Monroe city, Oregon",645,658,672
"Monument city, Oregon",115,117,116
"Moro city, Oregon",369,376,384
"Mosier city, Oregon",465,468,466
"Mount Angel city, Oregon","3,398","3,409","3,400"
"Mount Vernon city, Oregon",549,555,552
"Myrtle Creek city, Oregon","3,478","3,500","3,503"
"Myrtle Point city, Oregon","2,484","2,495","2,498"
"Nehalem city, Oregon",271,275,272
"Newberg city, Oregon","25,482","25,536","25,777"
"Newport city, Oregon","10,302","10,497","10,412"
"North Bend city, Oregon","10,309","10,287","10,218"
"North Plains city, Oregon","3,440","3,430","3,396"
"North Powder city, Oregon",504,506,501
"Nyssa city, Oregon","3,208","3,216","3,233"
"Oakland city, Oregon",936,943,949
"Oakridge city, Oregon","3,209","3,207","3,175"
"Ontario city, Oregon","11,672","11,671","11,732"
"Oregon City city, Oregon","37,768","37,636","37,327"
"Paisley city, Oregon",246,251,254
"Pendleton city, Oregon","17,020","16,981","17,070"
"Philomath city, Oregon","5,340","5,596","5,721"
"Phoenix city, Oregon","4,484","4,269","4,206"
"Pilot Rock city, Oregon","1,335","1,333","1,328"
"Portland city, Oregon","653,294","643,375","635,067"
"Port Orford city, Oregon","1,148","1,156","1,149"
"Powers city, Oregon",708,711,713
"Prairie City city, Oregon",842,846,838
"Prescott city, Oregon",80,80,81
"Prineville city, Oregon","10,880","11,235","11,497"
"Rainier city, Oregon","1,907","1,914","1,913"
"Redmond city, Oregon","33,770","35,641","36,409"
"Reedsport city, Oregon","4,321","4,338","4,320"
"Richland city, Oregon",167,169,170
"Riddle city, Oregon","1,213","1,222","1,223"
"Rivergrove city, Oregon",544,544,539
"Rockaway Beach city, Oregon","1,453","1,471","1,458"
"Rogue River city, Oregon","2,413","2,426","2,380"
"Roseburg city, Oregon","23,676","23,828","23,853"
"Rufus city, Oregon",264,270,276
"St. Helens city, Oregon","13,912","14,182","14,369"
"St. Paul city, Oregon",433,433,429
"Salem city, Oregon","175,931","178,105","177,487"
"Sandy city, Oregon","12,664","12,769","12,953"
"Scappoose city, Oregon","8,020","8,072","8,230"
"Scio city, Oregon",963,959,951
"Scotts Mills city, Oregon",423,423,419
"Seaside city, Oregon","7,132","7,260","7,227"
"Seneca city, Oregon",166,166,165
"Shady Cove city, Oregon","3,090","3,120","3,078"
"Shaniko city, Oregon",32,32,31
"Sheridan city, Oregon","6,233","6,256","6,244"
"Sherwood city, Oregon","20,421","20,312","20,030"
"Siletz city, Oregon","1,228","1,239","1,230"
"Silverton city, Oregon","10,480","10,558","10,443"
"Sisters city, Oregon","3,071","3,083","3,013"
"Sodaville city, Oregon",359,362,361
"Spray town, Oregon",139,139,138
"Springfield city, Oregon","61,834","61,866","61,400"
"Stanfield city, Oregon","2,145","2,141","2,132"
"Stayton city, Oregon","8,229","8,201","8,188"
"Sublimity city, Oregon","2,969","2,969","2,942"
"Summerville town, Oregon",118,120,118
"Sumpter city, Oregon",207,209,209
"Sutherlin city, Oregon","8,531","8,605","8,634"
"Sweet Home city, Oregon","9,856","9,963","10,090"
"Talent city, Oregon","6,315","6,151","6,203"
"Tangent city, Oregon","1,243","1,237","1,232"
"The Dalles city, Oregon","16,002","16,050","15,932"
"Tigard city, Oregon","55,015","55,896","55,762"
"Tillamook city, Oregon","5,227","5,287","5,236"
"Toledo city, Oregon","3,548","3,571","3,541"
"Troutdale city, Oregon","16,301","15,972","15,686"
"Tualatin city, Oregon","27,891","27,608","27,797"
"Turner city, Oregon","2,450","2,448","2,422"
"Ukiah city, Oregon",164,166,166
"Umatilla city, Oregon","7,384","7,535","7,630"
"Union city, Oregon","2,150","2,161","2,134"
"Unity city, Oregon",41,42,42
"Vale city, Oregon","1,904","1,911","1,921"
"Veneta city, Oregon","5,221","5,226","5,159"
"Vernonia city, Oregon","2,379","2,408","2,417"
"Waldport city, Oregon","2,254","2,273","2,266"
"Wallowa city, Oregon",802,817,830
"Warrenton city, Oregon","6,282","6,427","6,357"
"Wasco city, Oregon",418,426,436
"Waterloo town, Oregon",221,222,220
"Westfir city, Oregon",260,260,258
"West Linn city, Oregon","27,382","27,180","26,931"
"Weston city, Oregon",706,703,701
"Wheeler city, Oregon",428,432,428
"Willamina city, Oregon","2,245","2,260","2,252"
"Wilsonville city, Oregon","26,712","26,656","26,597"
"Winston city, Oregon","5,630","5,665","5,673"
"Woodburn city, Oregon","25,971","26,075","27,290"
"Wood Village city, Oregon","4,389","4,866","4,775"
"Yachats city, Oregon",998,"1,013","1,013"
"Yamhill city, Oregon","1,149","1,156","1,150"
"Yoncalla city, Oregon","1,017","1,027","1,032"
