place,2020,2021,2022
"Aberdeen city, Idaho","1,762","1,792","1,832"
"Acequia city, Idaho",130,132,132
"Albion city, Idaho",234,240,243
"American Falls city, Idaho","4,561","4,618","4,660"
"Ammon city, Idaho","17,865","18,670","19,000"
"Arco city, Idaho",882,903,913
"Arimo city, Idaho",354,351,351
"Ashton city, Idaho",950,953,964
"Athol city, Idaho",709,725,732
"Atomic City city, Idaho",40,41,41
"Bancroft city, Idaho",295,302,307
"Basalt city, Idaho",358,362,370
"Bellevue city, Idaho","2,564","2,583","2,598"
"Blackfoot city, Idaho","12,353","12,452","12,702"
"Bliss city, Idaho",256,258,256
"Bloomington city, Idaho",198,205,210
"Boise City city, Idaho","236,018","238,021","236,634"
"Bonners Ferry city, Idaho","2,531","2,604","2,698"
"Bovill city, Idaho",190,193,195
"Buhl city, Idaho","4,566","4,654","4,667"
"Burley city, Idaho","11,751","11,967","12,142"
"Butte City city, Idaho",78,80,83
"Caldwell city, Idaho","60,645","63,881","65,920"
"Cambridge city, Idaho",336,345,347
"Carey city, Idaho",688,688,676
"Cascade city, Idaho","1,000","1,019","1,014"
"Castleford city, Idaho",216,217,220
"Challis city, Idaho",890,916,924
"Chubbuck city, Idaho","15,664","15,789","16,165"
"Clark Fork city, Idaho",517,539,551
"Clayton city, Idaho",8,8,9
"Clifton city, Idaho",419,427,443
"Coeur d'Alene city, Idaho","54,938","56,145","56,733"
"Cottonwood city, Idaho",820,846,876
"Council city, Idaho",877,920,951
"Craigmont city, Idaho",461,482,490
"Crouch city, Idaho",157,166,171
"Culdesac city, Idaho",416,420,422
"Dalton Gardens city, Idaho","2,539","2,556","2,533"
"Dayton city, Idaho",519,528,532
"Deary city, Idaho",506,513,515
"Declo city, Idaho",338,346,351
"Dietrich city, Idaho",281,288,294
"Donnelly city, Idaho",251,258,258
"Dover city, Idaho",775,916,"1,000"
"Downey city, Idaho",565,562,561
"Driggs city, Idaho","2,000","2,162","2,252"
"Drummond city, Idaho",14,14,15
"Dubois city, Idaho",516,516,525
"Eagle city, Idaho","30,838","32,061","32,399"
"East Hope city, Idaho",230,239,244
"Eden city, Idaho",393,397,398
"Elk River city, Idaho",140,142,143
"Emmett city, Idaho","7,719","7,913","8,184"
"Fairfield city, Idaho",443,458,463
"Ferdinand city, Idaho",132,136,140
"Fernan Lake Village city, Idaho",167,167,165
"Filer city, Idaho","2,740","2,802","2,876"
"Firth city, Idaho",521,528,539
"Franklin city, Idaho","1,030","1,059","1,098"
"Fruitland city, Idaho","6,109","6,465","6,742"
"Garden City city, Idaho","12,296","12,308","12,927"
"Genesee city, Idaho","1,028","1,044","1,059"
"Georgetown city, Idaho",502,513,517
"Glenns Ferry city, Idaho","1,283","1,282","1,293"
"Gooding city, Idaho","3,714","3,731","3,722"
"Grace city, Idaho",921,930,938
"Grand View city, Idaho",443,461,462
"Grangeville city, Idaho","3,328","3,430","3,550"
"Greenleaf city, Idaho",810,814,799
"Hagerman city, Idaho",969,974,975
"Hailey city, Idaho","9,203","9,511","9,644"
"Hansen city, Idaho","1,089","1,096","1,097"
"Harrison city, Idaho",231,232,229
"Hauser city, Idaho",766,772,838
"Hayden city, Idaho","15,654","16,237","16,531"
"Hayden Lake city, Idaho",653,661,667
"Hazelton city, Idaho",805,812,814
"Heyburn city, Idaho","3,703","3,696","3,640"
"Hollister city, Idaho",243,254,263
"Homedale city, Idaho","2,911","3,005","3,129"
"Hope city, Idaho",99,102,105
"Horseshoe Bend city, Idaho",725,821,833
"Huetter city, Idaho",99,101,102
"Idaho City city, Idaho",470,491,509
"Idaho Falls city, Idaho","65,885","67,147","67,723"
"Inkom city, Idaho",797,806,824
"Iona city, Idaho","2,737","2,874","3,021"
"Irwin city, Idaho",249,263,268
"Island Park city, Idaho",194,193,195
"Jerome city, Idaho","12,374","12,639","13,037"
"Juliaetta city, Idaho",619,629,634
"Kamiah city, Idaho","1,116","1,174","1,191"
"Kellogg city, Idaho","2,320","2,393","2,454"
"Kendrick city, Idaho",290,293,294
"Ketchum city, Idaho","3,558","3,576","3,553"
"Kimberly city, Idaho","4,645","4,837","5,072"
"Kooskia city, Idaho",513,529,547
"Kootenai city, Idaho",956,"1,007","1,037"
"Kuna city, Idaho","24,469","26,613","27,229"
"Lapwai city, Idaho","1,168","1,184","1,198"
"Lava Hot Springs city, Idaho",361,373,377
"Leadore city, Idaho",96,98,99
"Lewiston city, Idaho","34,238","34,502","34,896"
"Lewisville city, Idaho",416,425,430
"McCall city, Idaho","3,722","3,883","3,982"
"McCammon city, Idaho",828,821,820
"Mackay city, Idaho",442,464,473
"Malad City city, Idaho","2,292","2,290","2,273"
"Malta city, Idaho",167,171,176
"Marsing city, Idaho","1,229","1,260","1,260"
"Melba city, Idaho",573,582,574
"Menan city, Idaho",715,724,730
"Meridian city, Idaho","119,405","125,774","129,736"
"Middleton city, Idaho","9,558","10,208","10,651"
"Midvale city, Idaho",195,201,206
"Minidoka city, Idaho",87,89,87
"Montpelier city, Idaho","2,638","2,694","2,728"
"Moore city, Idaho",164,170,172
"Moscow city, Idaho","25,513","25,941","26,249"
"Mountain Home city, Idaho","16,038","16,172","16,469"
"Moyie Springs city, Idaho",833,879,980
"Mud Lake city, Idaho",319,331,343
"Mullan city, Idaho",646,666,679
"Murtaugh city, Idaho",116,122,121
"Nampa city, Idaho","101,303","106,525","110,951"
"Newdale city, Idaho",331,331,333
"New Meadows city, Idaho",522,546,575
"New Plymouth city, Idaho","1,514","1,535","1,543"
"Nezperce city, Idaho",456,481,486
"Notus city, Idaho",608,612,609
"Oakley city, Idaho",786,800,815
"Oldtown city, Idaho",221,234,247
"Onaway city, Idaho",197,205,210
"Orofino city, Idaho","3,230","3,271","3,285"
"Osburn city, Idaho","1,577","1,626","1,664"
"Oxford city, Idaho",39,41,41
"Paris city, Idaho",539,550,554
"Parker city, Idaho",300,299,301
"Parma city, Idaho","2,094","2,120","2,126"
"Paul city, Idaho","1,199","1,443","1,728"
"Payette city, Idaho","8,188","8,429","8,581"
"Peck city, Idaho",165,167,171
"Pierce city, Idaho",468,475,477
"Pinehurst city, Idaho","1,680","1,737","1,783"
"Placerville city, Idaho",46,48,48
"Plummer city, Idaho","1,017","1,047","1,118"
"Pocatello city, Idaho","56,433","57,242","57,730"
"Ponderay city, Idaho","1,302","1,468","1,601"
"Post Falls city, Idaho","39,220","42,663","44,194"
"Potlatch city, Idaho",768,778,782
"Preston city, Idaho","5,628","5,784","5,994"
"Priest River city, Idaho","1,671","1,741","1,785"
"Rathdrum city, Idaho","9,286","10,227","10,651"
"Reubens city, Idaho",42,44,45
"Rexburg city, Idaho","39,423","40,057","40,462"
"Richfield city, Idaho",426,438,443
"Rigby city, Idaho","5,071","5,260","5,452"
"Riggins city, Idaho",373,383,395
"Ririe city, Idaho",665,694,700
"Roberts city, Idaho",497,533,562
"Rockland city, Idaho",240,241,254
"Rupert city, Idaho","6,104","6,109","6,238"
