place,2020,2021,2022
"St. Anthony city, Idaho","3,702","3,761","3,868"
"St. Charles city, Idaho",162,172,180
"St. Maries city, Idaho","2,366","2,434","2,501"
"Salmon city, Idaho","3,112","3,180","3,216"
"Sandpoint city, Idaho","8,734","9,160","9,777"
"Shelley city, Idaho","4,833","5,021","5,110"
"Shoshone city, Idaho","1,655","1,688","1,706"
"Smelterville city, Idaho",669,692,706
"Soda Springs city, Idaho","3,121","3,150","3,176"
"Spencer city, Idaho",28,28,29
"Spirit Lake city, Idaho","2,348","2,460","2,515"
"Stanley city, Idaho",116,119,119
"Star city, Idaho","11,401","12,959","14,646"
"State Line city, Idaho",37,39,39
"Stites city, Idaho",173,177,183
"Sugar City city, Idaho","1,729","1,933","2,038"
"Sun Valley city, Idaho","1,792","1,805","1,788"
"Swan Valley city, Idaho",240,255,281
"Tensed city, Idaho",85,89,93
"Teton city, Idaho",791,805,832
"Tetonia city, Idaho",309,312,301
"Troy city, Idaho",893,908,914
"Twin Falls city, Idaho","52,079","53,497","54,300"
"Ucon city, Idaho","1,168","1,219","1,226"
"Victor city, Idaho","2,171","2,238","2,248"
"Wallace city, Idaho",789,813,828
"Wardner city, Idaho",191,197,203
"Warm River city, Idaho",1,1,1
"Weippe city, Idaho",404,408,412
"Weiser city, Idaho","5,662","5,823","5,912"
"Wendell city, Idaho","2,929","2,936","2,945"
"Weston city, Idaho",515,529,539
"White Bird city, Idaho",82,85,87
"Wilder city, Idaho","1,594","1,659","1,642"
"Winchester city, Idaho",353,366,371
"Worley city, Idaho",253,254,253
