place,2020,2021,2022
"Commerce City city, Colorado","62,776","64,423","66,115"
"Cortez city, Colorado","8,778","8,907","8,999"
"Craig city, Colorado","9,039","8,961","8,970"
"Crawford town, Colorado",398,402,403
"Crested Butte town, Colorado","1,649","1,668","1,654"
"Crestone town, Colorado",139,140,139
"Cripple Creek city, Colorado","1,154","1,156","1,142"
"Crook town, Colorado",129,129,126
"Crowley town, Colorado",167,170,167
"Dacono city, Colorado","6,348","6,495","6,488"
"De Beque town, Colorado",487,484,480
"Deer Trail town, Colorado","1,107","1,228","1,387"
"Del Norte town, Colorado","1,454","1,443","1,428"
"Delta city, Colorado","9,063","9,197","9,464"
"Denver city, Colorado","717,556","711,323","713,252"
"Dillon town, Colorado","1,063","1,053","1,029"
"Dinosaur town, Colorado",242,240,241
"Dolores town, Colorado",890,906,919
"Dove Creek town, Colorado",635,645,667
"Durango city, Colorado","19,107","19,143","19,531"
"Eads town, Colorado",678,673,657
"Eagle town, Colorado","7,512","7,593","7,443"
"Eaton town, Colorado","5,844","5,881","5,913"
"Eckley town, Colorado",231,233,234
"Edgewater city, Colorado","5,005","4,956","4,900"
"Elizabeth town, Colorado","1,717","2,009","2,285"
"Empire town, Colorado",340,341,335
"Englewood city, Colorado","33,620","33,648","33,642"
"Erie town, Colorado","30,405","31,550","33,104"
"Estes Park town, Colorado","5,903","5,869","5,862"
"Evans city, Colorado","22,280","22,349","22,619"
"Fairplay town, Colorado",734,737,737
"Federal Heights city, Colorado","14,394","14,215","14,001"
"Firestone town, Colorado","16,665","17,334","18,314"
"Flagler town, Colorado",563,563,572
"Fleming town, Colorado",428,427,422
"Florence city, Colorado","3,837","3,901","3,870"
"Fort Collins city, Colorado","169,979","169,266","169,249"
"Fort Lupton city, Colorado","8,005","8,283","8,829"
"Fort Morgan city, Colorado","11,550","11,437","11,453"
"Fountain city, Colorado","29,890","29,706","28,907"
"Fowler town, Colorado","1,257","1,245","1,220"
"Foxfield town, Colorado",752,751,741
"Fraser town, Colorado","1,399","1,418","1,411"
"Frederick town, Colorado","14,724","15,806","17,158"
"Frisco town, Colorado","2,921","2,876","2,804"
"Fruita city, Colorado","13,415","13,544","13,760"
"Garden City town, Colorado",249,251,251
"Genoa town, Colorado",154,156,155
"Georgetown town, Colorado","1,113","1,206","1,280"
"Gilcrest town, Colorado","1,029","1,027","1,027"
"Glendale city, Colorado","4,599","4,560","4,496"
"Glenwood Springs city, Colorado","10,005","10,355","10,264"
"Golden city, Colorado","20,387","20,712","20,460"
"Granada town, Colorado",448,447,444
"Granby town, Colorado","2,086","2,128","2,159"
"Grand Junction city, Colorado","65,685","66,820","68,034"
"Grand Lake town, Colorado",408,410,404
"Greeley city, Colorado","109,264","108,631","109,209"
"Green Mountain Falls town, Colorado",648,640,624
"Greenwood Village city, Colorado","15,649","15,543","15,365"
"Grover town, Colorado",157,156,156
"Gunnison city, Colorado","6,575","6,794","6,794"
"Gypsum town, Colorado","8,086","8,536","8,954"
"Hartman town, Colorado",54,54,53
"Haswell town, Colorado",70,72,70
"Haxtun town, Colorado",983,979,963
"Hayden town, Colorado","1,930","1,960","1,956"
"Hillrose town, Colorado",312,308,309
"Holly town, Colorado",838,839,822
"Holyoke city, Colorado","2,345","2,326","2,293"
"Hooper town, Colorado",79,79,80
"Hotchkiss town, Colorado",883,900,904
"Hot Sulphur Springs town, Colorado",686,686,679
"Hudson town, Colorado","1,648","1,638","1,637"
"Hugo town, Colorado",784,785,783
"Idaho Springs city, Colorado","1,808","1,793","1,752"
"Ignacio town, Colorado",851,858,855
"Iliff town, Colorado",245,246,244
"Jamestown town, Colorado",254,250,248
"Johnstown town, Colorado","17,365","18,230","18,636"
"Julesburg town, Colorado","1,297","1,265","1,244"
"Keenesburg town, Colorado","1,258","1,732","2,080"
"Kersey town, Colorado","1,504","1,501","1,503"
"Kim town, Colorado",62,63,63
"Kiowa town, Colorado",733,737,733
"Kit Carson town, Colorado",259,253,252
"Kremmling town, Colorado","1,511","1,506","1,484"
"Lafayette city, Colorado","30,422","30,717","30,699"
"La Jara town, Colorado",730,736,729
"La Junta city, Colorado","7,311","7,229","7,152"
"Lake City town, Colorado",437,429,430
"Lakeside town, Colorado",18,18,17
"Lakewood city, Colorado","156,236","157,109","156,120"
"Lamar city, Colorado","7,697","7,679","7,591"
"Larkspur town, Colorado",208,210,215
"La Salle town, Colorado","2,359","2,346","2,341"
"Las Animas city, Colorado","2,298","2,343","2,324"
"La Veta town, Colorado",858,865,881
"Leadville city, Colorado","2,618","2,606","2,608"
"Limon town, Colorado","2,034","2,038","2,018"
"Littleton city, Colorado","45,586","45,308","44,755"
"Lochbuie town, Colorado","8,197","8,166","8,179"
"Log Lane Village town, Colorado",903,898,900
"Lone Tree city, Colorado","14,278","14,304","14,177"
"Longmont city, Colorado","99,181","99,721","98,687"
"Louisville city, Colorado","21,173","20,839","20,560"
"Loveland city, Colorado","76,362","77,002","77,884"
"Lyons town, Colorado","2,209","2,181","2,146"
"Manassa town, Colorado",948,962,966
"Mancos town, Colorado","1,198","1,218","1,238"
"Manitou Springs city, Colorado","4,876","4,833","4,710"
"Manzanola town, Colorado",337,336,333
"Marble town, Colorado",131,134,134
"Mead town, Colorado","4,800","5,361","6,244"
"Meeker town, Colorado","2,376","2,348","2,380"
"Merino town, Colorado",283,284,281
"Milliken town, Colorado","8,460","8,712","9,079"
"Minturn town, Colorado","1,038","1,015",995
"Moffat town, Colorado",107,107,106
"Monte Vista city, Colorado","4,249","4,183","4,145"
"Montezuma town, Colorado",74,72,71
"Montrose city, Colorado","20,356","20,689","21,003"
"Monument town, Colorado","10,427","10,866","11,793"
"Morrison town, Colorado",398,402,375
"Mountain View town, Colorado",541,537,527
"Mountain Village town, Colorado","1,260","1,264","1,252"
"Mount Crested Butte town, Colorado",939,965,954
"Naturita town, Colorado",482,478,478
"Nederland town, Colorado","1,465","1,500","1,500"
"New Castle town, Colorado","4,914","4,881","4,848"
"Northglenn city, Colorado","38,038","37,425","38,106"
"Norwood town, Colorado",535,535,536
"Nucla town, Colorado",591,590,590
"Nunn town, Colorado",504,518,531
"Oak Creek town, Colorado",889,868,875
"Olathe town, Colorado","2,018","1,989","1,980"
"Olney Springs town, Colorado",310,317,310
"Ophir town, Colorado",196,195,195
"Orchard City town, Colorado","3,146","3,193","3,203"
"Ordway town, Colorado","1,055","1,092","1,091"
"Otis town, Colorado",514,521,516
"Ouray city, Colorado",901,929,925
"Ovid town, Colorado",270,263,259
"Pagosa Springs town, Colorado","1,618","1,678","1,720"
"Palisade town, Colorado","2,568","2,568","2,587"
"Palmer Lake town, Colorado","2,656","2,656","2,624"
"Paoli town, Colorado",50,50,49
"Paonia town, Colorado","1,451","1,475","1,462"
"Parachute town, Colorado","1,396","1,386","1,368"
"Parker town, Colorado","58,878","60,488","61,222"
"Peetz town, Colorado",212,211,207
"Pierce town, Colorado","1,096","1,098","1,095"
"Pitkin town, Colorado",76,76,75
"Platteville town, Colorado","2,958","2,945","2,940"
"Poncha Springs town, Colorado",939,"1,089","1,266"
"Pritchett town, Colorado",113,113,111
"Pueblo city, Colorado","111,891","111,991","111,456"
"Ramah town, Colorado",113,111,108
"Rangely town, Colorado","2,299","2,259","2,303"
"Raymer (New Raymer) town, Colorado",109,108,110
"Red Cliff town, Colorado",259,255,250
"Rico town, Colorado",294,305,323
"Ridgway town, Colorado","1,180","1,213","1,213"
"Rifle city, Colorado","10,428","10,508","10,551"
"Rockvale town, Colorado",514,527,524
"Rocky Ford city, Colorado","3,868","3,852","3,800"
"Romeo town, Colorado",301,307,310
"Rye town, Colorado",207,206,203
"Saguache town, Colorado",538,540,536
"Salida city, Colorado","5,685","5,759","5,809"
"Sanford town, Colorado",881,896,897
"San Luis town, Colorado",601,616,618
"Sawpit town, Colorado",37,37,36
"Sedgwick town, Colorado",173,169,166
"Seibert town, Colorado",173,172,174
"Severance town, Colorado","7,980","9,627","10,581"
"Sheridan city, Colorado","6,103","6,046","5,970"
"Sheridan Lake town, Colorado",54,54,54
"Silt town, Colorado","3,541","3,563","3,594"
"Silver Cliff town, Colorado",617,658,688
"Silver Plume town, Colorado",205,204,199
"Silverthorne town, Colorado","4,452","4,633","4,769"
"Silverton town, Colorado",629,656,713
"Simla town, Colorado",604,613,606
"Snowmass Village town, Colorado","3,096","3,094","3,010"
"South Fork town, Colorado",508,501,500
"Springfield town, Colorado","1,321","1,319","1,298"
"Starkville town, Colorado",65,65,65
"Steamboat Springs city, Colorado","13,218","13,375","13,302"
"Sterling city, Colorado","13,407","13,317","13,102"
"Stratton town, Colorado",658,644,644
"Sugar City town, Colorado",255,261,258
"Superior town, Colorado","13,105","13,098","13,292"
"Swink town, Colorado",602,605,596
"Telluride town, Colorado","2,623","2,618","2,588"
"Thornton city, Colorado","142,176","142,934","143,282"
"Timnath town, Colorado","6,739","7,797","9,344"
"Trinidad city, Colorado","8,342","8,347","8,313"
"Two Buttes town, Colorado",35,35,34
"Vail town, Colorado","4,819","4,743","4,636"
"Victor city, Colorado",381,380,374
"Vilas town, Colorado",95,95,94
"Vona town, Colorado",91,89,89
"Walden town, Colorado",605,593,569
"Walsenburg city, Colorado","3,049","3,069","3,111"
"Walsh town, Colorado",537,539,534
"Ward town, Colorado",130,129,128
"Wellington town, Colorado","11,151","11,679","11,978"
"Westcliffe town, Colorado",424,455,477
"Westminster city, Colorado","116,302","114,798","114,533"
"Wheat Ridge city, Colorado","32,381","32,341","31,879"
"Wiggins town, Colorado","1,434","1,553","1,720"
"Wiley town, Colorado",440,441,436
"Williamsburg town, Colorado",730,745,756
"Windsor town, Colorado","33,234","35,784","38,510"
"Winter Park town, Colorado","1,038","1,039","1,024"
"Woodland Park city, Colorado","7,927","7,971","7,956"
"Wray city, Colorado","2,335","2,308","2,295"
"Yampa town, Colorado",397,399,397
"Yuma city, Colorado","3,456","3,447","3,426"
