place,2020,2021,2022
"Aguilar town, Colorado",453,454,453
"Akron town, Colorado","1,762","1,770","1,757"
"Alamosa city, Colorado","9,811","9,888","9,845"
"Alma town, Colorado",295,299,308
"Antonito town, Colorado",639,640,632
"Arriba town, Colorado",203,204,201
"Arvada city, Colorado","124,394","123,591","121,581"
"Aspen city, Colorado","6,995","6,952","6,741"
"Ault town, Colorado","1,925","2,374","2,495"
"Aurora city, Colorado","386,749","390,370","393,537"
"Avon town, Colorado","6,135","6,047","5,921"
"Basalt town, Colorado","3,985","4,076","4,062"
"Bayfield town, Colorado","2,845","2,892","2,897"
"Bennett town, Colorado","2,901","3,299","3,521"
"Berthoud town, Colorado","10,605","11,685","12,710"
"Bethune town, Colorado",181,177,177
"Black Hawk city, Colorado",127,128,127
"Blanca town, Colorado",323,332,332
"Blue River town, Colorado",876,875,853
"Bonanza town, Colorado",14,14,15
"Boone town, Colorado",303,306,306
"Boulder city, Colorado","108,112","104,001","105,485"
"Bow Mar town, Colorado",854,846,833
"Branson town, Colorado",55,56,56
"Breckenridge town, Colorado","5,053","4,984","4,917"
"Brighton city, Colorado","40,291","40,877","41,881"
"Brookside town, Colorado",236,240,243
"Broomfield city, Colorado","74,484","75,375","76,121"
"Brush city, Colorado","5,323","5,258","5,256"
"Buena Vista town, Colorado","2,862","2,976","2,976"
"Burlington city, Colorado","3,168","3,106","3,114"
"Calhan town, Colorado",759,756,736
"Campo town, Colorado",104,104,102
"Cañon City city, Colorado","16,961","17,136","17,258"
"Carbonate town, Colorado",-,-,-
"Carbondale town, Colorado","6,450","6,483","6,633"
"Castle Pines city, Colorado","11,215","12,311","13,486"
"Castle Rock town, Colorado","73,881","76,652","80,191"
"Cedaredge town, Colorado","2,287","2,340","2,365"
"Centennial city, Colorado","108,185","107,332","105,865"
"Center town, Colorado","1,931","1,940","1,932"
"Central City city, Colorado",779,785,779
"Cheraw town, Colorado",241,239,236
"Cherry Hills Village city, Colorado","6,427","6,362","6,312"
"Cheyenne Wells town, Colorado",752,736,734
"City of Creede town, Colorado",261,276,276
"Coal Creek town, Colorado",359,364,366
"Cokedale town, Colorado",125,126,127
"Collbran town, Colorado",373,373,368
"Colorado Springs city, Colorado","480,292","483,328","486,248"
"Columbine Valley town, Colorado","1,502","1,555","1,636"
