# State Code or Tribal Indicator (TT)|County Code or Tribal Code|Site_ID number|Parameter Code|POC|Sampling Begin Date-Time (YYYYMMDD HHMM)|Sample Value|Null Data Code|Null Code Description|Null Code Concurrence|Null Extra|Units Code|Units Description|Event Type Code|Event Type Description|Event-Sample Association Date|Event Description|Event Creation Date|Event coment text or URL|Standard for Concurrence 1|Concurrence Indicator 1|Concurrence Date 1|Concurrence Comment 1|Standard for Concurrence 2|Concurrence Indicator 2|Concurrence Date 2|Concurrence Comment 2|Standard for Concurrence 3|Concurrence Indicator 3|Concurrence Date 3|Concurrence Comment 3|Standard for Concurrence 4|Concurrence Indicator 4|Concurrence Date 4|Concurrence Comment 4|QA Qualifier Code 1|QA Qualifier Description 1|QA Qualifier 1 Comment|QA Qualifier Code 2|QA Qualifier Description 2|QA Qualifier 2 Comment|QA Qualifier Code 3|QA Qualifier Description 3|QA Qualifier 3 Comment|QA Qualifier Code 4|QA Qualifier Description 4|QA Qualifier 4 Comment|QA Qualifier Code 5|QA Qualifier Description 5|QA Qualifier 5 Comment|QA Qualifier Code 6|QA Qualifier Description 6|QA Qualifier 6 Comment|QA Qualifier Code 7|QA Qualifier Description 7|QA Qualifier 7 Comment|QA Qualifier Code 8|QA Qualifier Description 8|QA Qualifier 8 Comment|QA Qualifier Code 9|QA Qualifier Description 9|QA Qualifier 9 Comment|QA Qualifier Code 10|QA Qualifier Description 10|QA Qualifier 10 Comment
17|031|4201|44201|1|20200618 00:00|.062|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 01:00|.05|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 02:00|.038|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 03:00|.029|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 04:00|.021|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 05:00|.014|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 06:00|.031|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 07:00|.047|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 08:00|.055|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 09:00|.069|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 10:00|.071|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 11:00|.079|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 12:00|.083|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 13:00|.082|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 14:00|.08|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 15:00|.081|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 16:00|.08|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 17:00|.079|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 18:00|.08|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 19:00|.078|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 20:00|.064|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
17|031|4201|44201|1|20200618 21:00|.053|||||007|Parts per million|RT|Wildfire-U. S.|20210909 09:23|Wildfire|20210908 16:35||Ozone 1-hour 1979|N|09-SEP-21||Ozone 8-Hour 1997|N|09-SEP-21||Ozone 8-Hour 2008|N|09-SEP-21||Ozone 8-hour 2015|N|09-SEP-21|||||||||||||||||||||||||||||||
