# State Code or Tribal Indicator (TT)|County Code or Tribal Code|Site_ID number|Parameter Code|POC|Sampling Begin Date-Time (YYYYMMDD HHMM)|Sample Value|Null Data Code|Null Code Description|Null Code Concurrence|Null Extra|Units Code|Units Description|Event Type Code|Event Type Description|Event-Sample Association Date|Event Description|Event Creation Date|Event coment text or URL|Standard for Concurrence 1|Concurrence Indicator 1|Concurrence Date 1|Concurrence Comment 1|Standard for Concurrence 2|Concurrence Indicator 2|Concurrence Date 2|Concurrence Comment 2|Standard for Concurrence 3|Concurrence Indicator 3|Concurrence Date 3|Concurrence Comment 3|Standard for Concurrence 4|Concurrence Indicator 4|Concurrence Date 4|Concurrence Comment 4|QA Qualifier Code 1|QA Qualifier Description 1|QA Qualifier 1 Comment|QA Qualifier Code 2|QA Qualifier Description 2|QA Qualifier 2 Comment|QA Qualifier Code 3|QA Qualifier Description 3|QA Qualifier 3 Comment|QA Qualifier Code 4|QA Qualifier Description 4|QA Qualifier 4 Comment|QA Qualifier Code 5|QA Qualifier Description 5|QA Qualifier 5 Comment|QA Qualifier Code 6|QA Qualifier Description 6|QA Qualifier 6 Comment|QA Qualifier Code 7|QA Qualifier Description 7|QA Qualifier 7 Comment|QA Qualifier Code 8|QA Qualifier Description 8|QA Qualifier 8 Comment|QA Qualifier Code 9|QA Qualifier Description 9|QA Qualifier 9 Comment|QA Qualifier Code 10|QA Qualifier Description 10|QA Qualifier 10 Comment
20|057|0002|81102|1|20180417 00:00|29|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 01:00|28|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 02:00|24|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 03:00|22|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 04:00|20|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 05:00|27|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 06:00|47|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 07:00|56|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 08:00|55|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 09:00|56|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 10:00|68|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 11:00|24|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 12:00|10|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 13:00|23|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 14:00|70|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 15:00|92|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 16:00|109|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 17:00|97|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 18:00|78|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 19:00|2246|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 20:00|1126|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 21:00|439|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 22:00|282|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|057|0002|81102|1|20180417 23:00|69|||||001|Micrograms/cubic meter (25 C)|RJ|High Winds.||||||||||||||||||||||||||||||||||||||||||||||||||
20|173|0010|44201|1|20160404 00:00|.03|||||007|Parts per million|RM|Prescribed Fire.|20170801 15:50|Flint Hills Fire April 04 2016|20170801 15:38|||||||||||||||||||||||||||||||||||||||||||||||
20|173|0010|44201|1|20160404 01:00|.023|||||007|Parts per million|RM|Prescribed Fire.|20170801 15:50|Flint Hills Fire April 04 2016|20170801 15:38|||||||||||||||||||||||||||||||||||||||||||||||
20|173|0010|44201|1|20160404 02:00|.018|||||007|Parts per million|RM|Prescribed Fire.|20170801 15:50|Flint Hills Fire April 04 2016|20170801 15:38|||||||||||||||||||||||||||||||||||||||||||||||
20|173|0010|44201|1|20160404 03:00|.024|||||007|Parts per million|RM|Prescribed Fire.|20170801 15:50|Flint Hills Fire April 04 2016|20170801 15:38|||||||||||||||||||||||||||||||||||||||||||||||
20|173|0010|44201|1|20160404 04:00|.028|||||007|Parts per million|RM|Prescribed Fire.|20170801 15:50|Flint Hills Fire April 04 2016|20170801 15:38|||||||||||||||||||||||||||||||||||||||||||||||
20|173|0010|44201|1|20160404 05:00|.026|||||007|Parts per million|RM|Prescribed Fire.|20170801 15:50|Flint Hills Fire April 04 2016|20170801 15:38|||||||||||||||||||||||||||||||||||||||||||||||
20|173|0010|44201|1|20160404 06:00|.026|||||007|Parts per million|RM|Prescribed Fire.|20170801 15:50|Flint Hills Fire April 04 2016|20170801 15:38|||||||||||||||||||||||||||||||||||||||||||||||
20|173|0010|44201|1|20160404 07:00|.028|||||007|Parts per million|RM|Prescribed Fire.|20170801 15:50|Flint Hills Fire April 04 2016|20170801 15:38|||||||||||||||||||||||||||||||||||||||||||||||
20|173|0010|44201|1|20160404 08:00|.034|||||007|Parts per million|RM|Prescribed Fire.|20170801 15:50|Flint Hills Fire April 04 2016|20170801 15:38|||||||||||||||||||||||||||||||||||||||||||||||
20|173|0010|44201|1|20160404 12:00|.061|||||007|Parts per million|RM|Prescribed Fire.|20170801 15:50|Flint Hills Fire April 04 2016|20170801 15:38|||||||||||||||||||||||||||||||||||||||||||||||
20|173|0010|44201|1|20160404 13:00|.089|||||007|Parts per million|RM|Prescribed Fire.|20170801 15:50|Flint Hills Fire April 04 2016|20170801 15:38|||||||||||||||||||||||||||||||||||||||||||||||
20|173|0010|44201|1|20160404 14:00|.091|||||007|Parts per million|RM|Prescribed Fire.|20170801 15:50|Flint Hills Fire April 04 2016|20170801 15:38|||||||||||||||||||||||||||||||||||||||||||||||
20|173|0010|44201|1|20160404 15:00|.119|||||007|Parts per million|RM|Prescribed Fire.|20170801 15:50|Flint Hills Fire April 04 2016|20170801 15:38|||||||||||||||||||||||||||||||||||||||||||||||
