# State Code or Tribal Indicator (TT)|County Code or Tribal Code|Site_ID number|Parameter Code|POC|Sampling Begin Date-Time (YYYYMMDD HHMM)|Sample Value|Null Data Code|Null Code Description|Null Code Concurrence|Null Extra|Units Code|Units Description|Event Type Code|Event Type Description|Event-Sample Association Date|Event Description|Event Creation Date|Event coment text or URL|Standard for Concurrence 1|Concurrence Indicator 1|Concurrence Date 1|Concurrence Comment 1|Standard for Concurrence 2|Concurrence Indicator 2|Concurrence Date 2|Concurrence Comment 2|Standard for Concurrence 3|Concurrence Indicator 3|Concurrence Date 3|Concurrence Comment 3|Standard for Concurrence 4|Concurrence Indicator 4|Concurrence Date 4|Concurrence Comment 4|QA Qualifier Code 1|QA Qualifier Description 1|QA Qualifier 1 Comment|QA Qualifier Code 2|QA Qualifier Description 2|QA Qualifier 2 Comment|QA Qualifier Code 3|QA Qualifier Description 3|QA Qualifier 3 Comment|QA Qualifier Code 4|QA Qualifier Description 4|QA Qualifier 4 Comment|QA Qualifier Code 5|QA Qualifier Description 5|QA Qualifier 5 Comment|QA Qualifier Code 6|QA Qualifier Description 6|QA Qualifier 6 Comment|QA Qualifier Code 7|QA Qualifier Description 7|QA Qualifier 7 Comment|QA Qualifier Code 8|QA Qualifier Description 8|QA Qualifier 8 Comment|QA Qualifier Code 9|QA Qualifier Description 9|QA Qualifier 9 Comment|QA Qualifier Code 10|QA Qualifier Description 10|QA Qualifier 10 Comment
01|073|2003|81102|2|20180328 05:00|92|||||001|Micrograms/cubic meter (25 C)|RP|Structural Fire.||||||||||||||||||||||||||||||||||||||||||||||||||
01|073|2003|81102|2|20180328 06:00|104|||||001|Micrograms/cubic meter (25 C)|RP|Structural Fire.||||||||||||||||||||||||||||||||||||||||||||||||||
28|049|0020|81102|1|20180705 05:00|305.2|||||001|Micrograms/cubic meter (25 C)|RH|Fireworks.||||||||||||||||||||||||||||||||||||||||||||||||||
28|049|0020|88101|3|20180705 05:00|49.3|||||105|Micrograms/cubic meter (LC)|RH|Fireworks.||||||||||||||||||||||||||||||||||||||||||||||||||
37|021|0034|88101|3|20200627 11:00|34|||||105|Micrograms/cubic meter (LC)|RA|African Dust.||||||||||||||||||||||||||||||||||||||||||||||||||
37|035|0004|88101|3|20220219 12:00|100|||||105|Micrograms/cubic meter (LC)|RP|Structural Fire.||||||||||||||||||||||||||||||||||||||||||||||||||
37|035|0004|88101|3|20220219 12:00|100|||||105|Micrograms/cubic meter (LC)|RP|Structural Fire.||||||||||||||||||||||||||||||||||||||||||||||||||
37|173|0002|88101|3|20220404 16:00|44|||||105|Micrograms/cubic meter (LC)|RM|Prescribed Fire.||||||||||||||||||||||||||||||||||||||||||||||||||
37|173|0002|88101|3|20220404 17:00|40|||||105|Micrograms/cubic meter (LC)|RM|Prescribed Fire.||||||||||||||||||||||||||||||||||||||||||||||||||
37|173|0002|88101|3|20220404 18:00|88|||||105|Micrograms/cubic meter (LC)|RM|Prescribed Fire.||||||||||||||||||||||||||||||||||||||||||||||||||
37|173|0002|88101|3|20220404 19:00|39|||||105|Micrograms/cubic meter (LC)|RM|Prescribed Fire.||||||||||||||||||||||||||||||||||||||||||||||||||
37|173|0002|88101|3|20220404 20:00|54|||||105|Micrograms/cubic meter (LC)|RM|Prescribed Fire.||||||||||||||||||||||||||||||||||||||||||||||||||
37|173|0002|88101|3|20220404 21:00|44|||||105|Micrograms/cubic meter (LC)|RM|Prescribed Fire.||||||||||||||||||||||||||||||||||||||||||||||||||
37|173|0002|88101|3|20220404 22:00|38|||||105|Micrograms/cubic meter (LC)|RM|Prescribed Fire.||||||||||||||||||||||||||||||||||||||||||||||||||
45|019|0048|88101|1|20161115 00:00|55.8|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.||||||||||||||||||||||||||||||||||||||||||||||||||
45|019|0048|88101|1|20161116 00:00|38.2|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.||||||||||||||||||||||||||||||||||||||||||||||||||
45|019|0049|88101|1|20161115 00:00|58.7|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.||||||||||||||||||||||||||||||||||||||||||||||||||
45|019|0049|88101|1|20161116 00:00|64.8|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.||||||||||||||||||||||||||||||||||||||||||||||||||
45|019|0049|88101|1|20161117 00:00|37.8|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.||||||||||||||||||||||||||||||||||||||||||||||||||
45|037|0001|88101|1|20161111 00:00|84.3|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.||||||||||||||||||||||||||||||||||||||||||||||||||
