# State Code or Tribal Indicator (TT)|County Code or Tribal Code|Site_ID number|Parameter Code|POC|Sampling Begin Date-Time (YYYYMMDD HHMM)|Sample Value|Null Data Code|Null Code Description|Null Code Concurrence|Null Extra|Units Code|Units Description|Event Type Code|Event Type Description|Event-Sample Association Date|Event Description|Event Creation Date|Event coment text or URL|Standard for Concurrence 1|Concurrence Indicator 1|Concurrence Date 1|Concurrence Comment 1|Standard for Concurrence 2|Concurrence Indicator 2|Concurrence Date 2|Concurrence Comment 2|Standard for Concurrence 3|Concurrence Indicator 3|Concurrence Date 3|Concurrence Comment 3|Standard for Concurrence 4|Concurrence Indicator 4|Concurrence Date 4|Concurrence Comment 4|QA Qualifier Code 1|QA Qualifier Description 1|QA Qualifier 1 Comment|QA Qualifier Code 2|QA Qualifier Description 2|QA Qualifier 2 Comment|QA Qualifier Code 3|QA Qualifier Description 3|QA Qualifier 3 Comment|QA Qualifier Code 4|QA Qualifier Description 4|QA Qualifier 4 Comment|QA Qualifier Code 5|QA Qualifier Description 5|QA Qualifier 5 Comment|QA Qualifier Code 6|QA Qualifier Description 6|QA Qualifier 6 Comment|QA Qualifier Code 7|QA Qualifier Description 7|QA Qualifier 7 Comment|QA Qualifier Code 8|QA Qualifier Description 8|QA Qualifier 8 Comment|QA Qualifier Code 9|QA Qualifier Description 9|QA Qualifier 9 Comment|QA Qualifier Code 10|QA Qualifier Description 10|QA Qualifier 10 Comment
02|020|0018|88101|3|20190627 07:00|69|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190627 09:00|53|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190627 10:00|38|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190628 03:00|61|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190628 04:00|46|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190628 05:00|76|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190628 06:00|78|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190628 07:00|47|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190628 08:00|82|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190628 10:00|72|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190628 11:00|223|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190628 12:00|134|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190628 13:00|44|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190629 07:00|51|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190629 08:00|42|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190629 09:00|55|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190629 10:00|41|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190630 04:00|41|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190630 11:00|45|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190701 05:00|38|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190705 01:00|46|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190705 02:00|74|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
02|020|0018|88101|3|20190705 03:00|73|||||105|Micrograms/cubic meter (LC)|RT|Wildfire-U. S.|20200622 15:41|2019 Alaska Wildland Fire Season - Southcentral Alaska|20200622 15:40|Exceedances of PM2.5 annual and 24-hour NAAQS recorded at sites in Southcentral Alaska were caused by the Swan Lake fire located on the Kenai Peninsula.||||||||||||||||||||||||||||||||||||||||||||||
